,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,price_in,time_in,type,price_out,time_out,stocks,open,profit,last day Close
167,167.0,,,438.0,2021-07-21 03:45:01,long,438.0,2021-07-21 03:46:01,CENTENKA,439.6499938964844,0.0,439.0
168,168.0,,,694.55,2021-07-21 03:45:01,long,694.55,2021-07-21 03:46:01,CENTURYTEX,701.8499755859375,0.0,697.25
169,169.0,,,490.2,2021-07-21 03:45:03,long,490.2,2021-07-21 03:46:01,CHOLAFIN,494.1000061035156,0.0,495.2000122070313
170,170.0,,,148.95,2021-07-21 03:45:03,long,148.95,2021-07-21 03:46:01,HEMIPROP,151.0,0.0,150.6999969482422
171,171.0,,,188.85,2021-07-21 03:45:03,long,188.85,2021-07-21 03:46:01,SHALBY,192.3999938964844,0.0,192.3999938964844
172,172.0,,,581.05,2021-07-21 03:45:03,long,581.05,2021-07-21 03:46:01,CLNINDIA,583.7000122070312,0.0,583.75
173,173.0,,,184.4,2021-07-21 03:45:03,long,184.4,2021-07-21 03:46:01,TATACOFFEE,186.1999969482422,0.0,186.1999969482422
174,174.0,,,1105.8,2021-07-21 03:45:03,long,1105.8,2021-07-21 03:46:01,COSMOFILMS,1112.0999755859375,0.0,1112.0
175,175.0,,,88.8,2021-07-21 03:45:03,long,88.8,2021-07-21 03:46:01,FSC,91.0,0.0,91.0
176,176.0,,,450.65,2021-07-21 03:45:03,long,450.65,2021-07-21 03:46:01,DALMIASUG,450.0,0.0,449.6499938964844
177,177.0,,,38.5,2021-07-21 03:45:03,long,38.5,2021-07-21 03:46:01,DCW,38.650001525878906,0.0,38.75
178,178.0,,,351.05,2021-07-21 03:45:03,long,351.05,2021-07-21 03:46:01,DHAMPURSUG,355.25,0.0,355.25
179,179.0,,,66.0,2021-07-21 03:45:03,long,66.0,2021-07-21 03:46:01,ASTRON,65.94999694824219,0.0,65.9000015258789
180,180.0,,,62.1,2021-07-21 03:45:03,long,62.1,2021-07-21 03:46:01,EQUITASBNK,63.95000076293945,0.0,63.900001525878906
181,181.0,,,110.15,2021-07-21 03:45:03,long,110.15,2021-07-21 03:46:01,EIHOTEL,111.0999984741211,0.0,111.0999984741211
182,182.0,,,64.45,2021-07-21 03:45:03,long,64.45,2021-07-21 03:46:01,SUBEXLTD,65.44999694824219,0.0,65.44999694824219
183,183.0,,,237.85,2021-07-21 03:45:03,long,237.85,2021-07-21 03:46:01,EPL,239.0,0.0,239.0
184,184.0,,,83.75,2021-07-21 03:45:03,long,83.75,2021-07-21 03:46:01,FEDERALBNK,83.8499984741211,0.0,84.0999984741211
185,185.0,,,518.1,2021-07-21 03:45:03,long,518.1,2021-07-21 03:46:01,FINCABLES,521.2000122070312,0.0,521.2000122070312
